manufacturer,year,vehicle_name,industry
John Deere,2023,John Deere 8R Series Tractor,Farm Equipment
Caterpillar,2022,Caterpillar 336 Next Gen Excavator,Construction
Volvo Trucks,2023,Volvo VNL Series,Trucking
Kenworth,2023,Kenworth T680 Next Gen,Trucking
Freightliner,2022,Freightliner Cascadia,Trucking
Mack Trucks,2022,Mack Anthem,Trucking
Peterbilt,2023,Peterbilt Model 579,Trucking
Navistar International,2022,International LT Series,Trucking
DAF Trucks,2021,DAF XF,Trucking
Scania,2022,Scania R Series,Trucking
MAN,2021,MAN TGX,Trucking
Blue Bird Corporation,2022,Blue Bird Vision School Bus,Education
Thomas Built Buses,2023,Thomas Saf-T-Liner C2,Education
Gillig,2022,Gillig Low Floor Bus,Transportation
New Flyer,2021,New Flyer Xcelsior Bus,Transportation
Caterpillar,2021,Caterpillar 140 Motor Grader,Construction
Komatsu,2022,Komatsu D61EX-24 Bulldozer,Construction
Hitachi Construction Machinery,2021,Hitachi ZX350LC-6 Excavator,Construction
Bobcat Company,2022,Bobcat T76 Compact Track Loader,Construction
Case IH,2021,Case IH Magnum Series Tractor,Farm Equipment
New Holland Agriculture,2022,New Holland T8 Tractor,Farm Equipment
AGCO Corporation,2021,Massey Ferguson 8700 S Series Tractor,Farm Equipment
Fendt,2022,Fendt 900 Vario Tractor,Farm Equipment
Kubota,2021,Kubota M8 Series Tractor,Farm Equipment
Volvo Construction Equipment,2023,Volvo L220H Wheel Loader,Construction
Bell Equipment,2021,Bell B30E Articulated Dump Truck,Construction
Terex,2022,Terex RT 100US Rough Terrain Crane,Construction
JCB,2021,JCB 3CX Backhoe Loader,Construction
Liebherr,2022,Liebherr LTM 1120-4.1 Mobile Crane,Construction
Kobelco,2021,Kobelco SK350LC-10 Excavator,Construction
Hyundai Construction Equipment,2022,Hyundai HX220L Excavator,Construction
Doosan,2021,Doosan DX300LC-5 Excavator,Construction
E-Z Pack,2021,Hercules Front Loader,Waste Management
Heil Environmental,2022,Heil Half/Pack Front Loader,Waste Management
McNeilus,2021,McNeilus Rear Loader,Waste Management
Dennis Eagle,2022,Dennis Eagle ProView Garbage Truck,Waste Management
Volvo Penta,2021,Volvo Penta D13 Marine Engine,Vessel
Cummins Marine,2022,Cummins QSB6.7 Marine Engine,Vessel
Caterpillar Marine,2021,Caterpillar C32 Marine Engine,Vessel
Rolls-Royce,2022,MTU Series 4000 Marine Engine,Vessel
PACCAR,2021,DAF CF,Trucking
Isuzu Motors,2022,Isuzu F-Series,Trucking
Hino Motors,2021,Hino 500 Series,Trucking
Ford Trucks,2022,Ford F-MAX,Trucking
Mitsubishi Fuso,2021,Fuso Canter,Trucking
Iveco,2022,Iveco S-Way,Trucking
Navistar International,2021,International HX Series,Construction
Peterbilt,2022,Peterbilt Model 567,Construction
Freightliner,2021,Freightliner 114SD,Construction
Mack Trucks,2022,Mack Granite,Construction
Western Star,2021,Western Star 4700,Construction
Autocar Trucks,2022,Autocar ACX Xpeditor,Waste Management
Kalmar,2021,Kalmar Ottawa T2 Terminal Tractor,Transportation/Logistics
Terberg,2022,Terberg YT203 Terminal Tractor,Transportation/Logistics
Linde Material Handling,2021,Linde H50 Diesel Forklift,Manufacturing
Crown Equipment Corporation,2022,Crown C-5 Series Forklift,Manufacturing
Jungheinrich,2021,Jungheinrich EFG Series Forklift,Manufacturing
Manitou,2022,Manitou MHT-X 790 Telehandler,Construction
Tadano,2021,Tadano GR-1000XL-4 Rough Terrain Crane,Construction
Link-Belt Cranes,2022,Link-Belt TCC-2500 Telescopic Crawler Crane,Construction
Grove,2021,Grove GMK5250L-1 All-Terrain Crane,Construction
Sennebogen,2022,Sennebogen 835 E Material Handler,Manufacturing
Hitachi Construction Machinery,2021,Hitachi ZW310-6 Wheel Loader,Construction
John Deere,2022,John Deere 744L Wheel Loader,Construction
Case Construction,2021,Case 821G Wheel Loader,Construction
Bell Equipment,2022,Bell B45E Articulated Dump Truck,Construction
Komatsu,2021,Komatsu HM400-5 Articulated Truck,Construction
Volvo Construction Equipment,2022,Volvo A45G Articulated Hauler,Construction
Caterpillar,2021,Caterpillar 745 Articulated Truck,Construction
Scania,2022,Scania G-Series,Trucking
MAN,2021,MAN TGS,Trucking
DAF Trucks,2022,DAF CF Electric,Trucking
Mercedes-Benz Trucks,2021,Mercedes-Benz Arocs,Construction
Peterbilt,2022,Peterbilt Model 220,Delivery
BYD Auto,2021,BYD 8TT Electric Truck,Trucking
Nikola Motor Company,2022,Nikola Tre BEV,Trucking
